text,label
Is good,affirm
Oh ok sir,affirm
Yes I am the one,affirm
I would say so,affirm
Okay,affirm
"Yes, OK",affirm
Hmmmm,affirm
I would say yes,affirm
Hmmmm,affirm
sure,affirm
This is it,affirm
Hmmmm,affirm
correct,affirm
Ok OK,affirm
Yes Yes,affirm
"Yes, OK",affirm
Cool,affirm
Yes,affirm
Oh ok sir,affirm
"Yes, OK",affirm
Here,affirm
Ok OK,affirm
Sure,affirm
Fine,affirm
Yes,affirm
Oh ok sir,affirm
OK then,affirm
Okay,affirm
O ye,affirm
You are right,affirm
exactly,affirm
Yes,affirm
Cool,affirm
Yes,affirm
Awesome,affirm
correct,affirm
Yes,affirm
Yes,affirm
Okay,affirm
Yes,affirm
Okay,affirm
हां हां,affirm
ठीक है,affirm
अच्छा ठीक है सर,affirm
हां मैं ही हूं,affirm
हां ऐसे ही,affirm
ओके,affirm
हां ठीक है,affirm
हम्म,affirm
हां कहूंगा मैं,affirm
हम्म,affirm
पक्का,affirm
यही है,affirm
हम्म,affirm
सही,affirm
ठीक है ठीक है,affirm
हां हां,affirm
हां ओके,affirm
कूल,affirm
हां,affirm
ओ ठीक है सर,affirm
हां ओके,affirm
यही,affirm
ओके ओके,affirm
श्योर,affirm
ठीक है,affirm
हां,affirm
अच्छा ठीक है सर,affirm
ठीक है फिर,affirm
ओके,affirm
हां यही,affirm
सही हो तुम,affirm
सही में,affirm
हां,affirm
कूल,affirm
हां,affirm
बहुत बढ़िया,affirm
सही है,affirm
हां,affirm
हां,affirm
हा हा,affirm
ठीक आहे,affirm
हा ठीक आहे सर,affirm
हो मीच आहे,affirm
हा असच,affirm
ओके,affirm
हा ठीक आहे,affirm
हं,affirm
हा बोलतो मी,affirm
हम्म,affirm
पुढे बोला,affirm
नक्की,affirm
इथंच आहे,affirm
हम्म,affirm
बरोबर,affirm
ठीक आहे ठीक आहे,affirm
हा हा,affirm
हा ओके,affirm
निवांत,affirm
हा,affirm
ओ ठीक आहे सर,affirm
हा ओके,affirm
इथंच,affirm
ओके ओके,affirm
नक्की,affirm
ठीक आहे हा,affirm
हा,affirm
अच्छा ठीक आहे सर,affirm
मग ठीक आहे,affirm
ओके,affirm
हा,affirm
बरोबर आहात तुमि,affirm
बरोबर ना,affirm
हा,affirm
कूल,affirm
हा,affirm
खूपच उत्तम,affirm
आहे बरोबर,affirm
हा,affirm
हा,affirm
ಚೆನ್ನಾಗಿದೆ,affirm
ಒಹ್ ಸರಿ ಸರ್,affirm
ಹೌದು ನಾನೊಬ್ಬನೇ,affirm
ನಾನು ಹಾಗೆ ಹೇಳುತ್ತೇನೆ,affirm
ಸರಿ,affirm
ಹೌದು ಸರಿ,affirm
ಹ್ಮ್ಮ್ಮ್,affirm
ನಾನು ಹೌದು ಎಂದು ಹೇಳುತ್ತೇನೆ,affirm
ಹಾನ್,affirm
ಮುಂದುವರೆಯಿರಿ,affirm
ಖಚಿತ,affirm
ಇದು ಅಷ್ಟೇ,affirm
ಹ್ಮ್,affirm
ಸರಿ,affirm
ಸರಿ ಸರಿ,affirm
ಹೌದು ಹೌದು,affirm
ಹೌದು ಸರಿ,affirm
ಕೂಲ್,affirm
ಹೌದು,affirm
ಒಹ್ ಸರಿ ಮೇಡಂ,affirm
ಹೌದು ಸರಿ,affirm
ಇಲ್ಲಿ,affirm
ಸರಿ ಸರಿ,affirm
ಖಚಿತ,affirm
ಚೆನ್ನಾಗಿದೆ,affirm
ಹೌದು,affirm
ಒಹ್ ಸರಿ ಸರ್,affirm
ಸರಿ ಹಾಗಾದರೆ,affirm
ಸರಿ,affirm
ಓ ಏ,affirm
ನೀನು ಸರಿ,affirm
ಎಕ್ಸಾಕ್ಟ್ಲಿ,affirm
ಸರಿ,affirm
ಕೂಲ್,affirm
ಸರಿ,affirm
ಅದ್ಭುತ,affirm
ಸರಿ,affirm
ಹೌದು,affirm
ಹೌದು,affirm
ಸರಿ,affirm
হ্যাঁ হ্যাঁ,affirm
ঠিক আছে,affirm
আচ্ছা ঠিক আছে স্যার,affirm
হ্যাঁ আমিই সেই,affirm
